# source: synthetic-fallback (see DECISIONS.md D1; realistic Berlin 2011-era aggregates)
# Ortsteile household-size distribution.
# retrieved_at: 2026-04-23 20:01:02
ortsteil_id,bezirk_id,hh_size_bracket,hh_size_mid,share
z96_000,bzk_01,1p,1,0.5350217046482209
z96_000,bzk_01,2p,2,0.27741866166944784
z96_000,bzk_01,3p,3,0.10419979649018413
z96_000,bzk_01,4+p,4,0.08335983719214729
z96_001,bzk_01,1p,1,0.533239305030895
z96_001,bzk_01,2p,2,0.2764944544604641
z96_001,bzk_01,3p,3,0.10570346694924491
z96_001,bzk_01,4+p,4,0.08456277355939593
z96_002,bzk_01,1p,1,0.5378515671045228
z96_002,bzk_01,2p,2,0.2788859977579007
z96_002,bzk_01,3p,3,0.10181246396532032
z96_002,bzk_01,4+p,4,0.08144997117225625
z96_003,bzk_01,1p,1,0.5384780447560936
z96_003,bzk_01,2p,2,0.2792108380216782
z96_003,bzk_01,3p,3,0.101283954012349
z96_003,bzk_01,4+p,4,0.0810271632098792
z96_004,bzk_02,1p,1,0.5493112292214205
z96_004,bzk_02,2p,2,0.28482804478147733
z96_004,bzk_02,3p,3,0.09214484777616784
z96_004,bzk_02,4+p,4,0.07371587822093427
z96_005,bzk_02,1p,1,0.5492422357841003
z96_005,bzk_02,2p,2,0.2847922704065705
z96_005,bzk_02,3p,3,0.09220305211629407
z96_005,bzk_02,4+p,4,0.07376244169303525
z96_006,bzk_03,1p,1,0.5400962027306627
z96_006,bzk_03,2p,2,0.2800498828973807
z96_006,bzk_03,3p,3,0.09991884131775372
z96_006,bzk_03,4+p,4,0.07993507305420297
z96_007,bzk_03,1p,1,0.5441344038056073
z96_007,bzk_03,2p,2,0.2821437649362408
z96_007,bzk_03,3p,3,0.09651212847675104
z96_007,bzk_03,4+p,4,0.07720970278140082
z96_008,bzk_03,1p,1,0.5411652616954672
z96_008,bzk_03,2p,2,0.28060420976802003
z96_008,bzk_03,3p,3,0.09901696029806266
z96_008,bzk_03,4+p,4,0.07921356823845012
z96_009,bzk_03,1p,1,0.5403736668705459
z96_009,bzk_03,2p,2,0.2801937531921349
z96_009,bzk_03,3p,3,0.09968476663184409
z96_009,bzk_03,4+p,4,0.07974781330547526
z96_010,bzk_03,1p,1,0.54212935656996
z96_010,bzk_03,2p,2,0.28110411081405334
z96_010,bzk_03,3p,3,0.09820362923110369
z96_010,bzk_03,4+p,4,0.07856290338488296
z96_011,bzk_03,1p,1,0.5416735968953523
z96_011,bzk_03,2p,2,0.2808677909827753
z96_011,bzk_03,3p,3,0.09858811784548467
z96_011,bzk_03,4+p,4,0.07887049427638773
z96_012,bzk_04,1p,1,0.525632706686446
z96_012,bzk_04,2p,2,0.27255029235593503
z96_012,bzk_04,3p,3,0.11212055608756612
z96_012,bzk_04,4+p,4,0.08969644487005289
z96_013,bzk_04,1p,1,0.5297285405084635
z96_013,bzk_04,2p,2,0.27467405804142553
z96_013,bzk_04,3p,3,0.10866522302783946
z96_013,bzk_04,4+p,4,0.08693217842227155
z96_014,bzk_05,1p,1,0.5400853669431113
z96_014,bzk_05,2p,2,0.28004426434087254
z96_014,bzk_05,3p,3,0.09992798262000906
z96_014,bzk_05,4+p,4,0.07994238609600723
z96_015,bzk_06,1p,1,0.5303299413421456
z96_015,bzk_06,2p,2,0.27498589551074215
z96_015,bzk_06,3p,3,0.10815786841506236
z96_015,bzk_06,4+p,4,0.08652629473204988
z96_016,bzk_06,1p,1,0.5260097470293701
z96_016,bzk_06,2p,2,0.27274579475596966
z96_016,bzk_06,3p,3,0.11180247678592244
z96_016,bzk_06,4+p,4,0.08944198142873794
z96_017,bzk_06,1p,1,0.5271626942269695
z96_017,bzk_06,2p,2,0.27334361922879896
